Time (s),Ch1,Ch2
-0.000323996,3.119806834,2.648455655
-0.000323866,3.123405599,2.654766402
-0.000323736,3.115308378,2.653864867
-0.000323606,3.125204982,2.652963331
-0.000323476,3.123405599,2.650258726
-0.000323346,3.131502821,2.653864867
-0.000323216,3.132402513,2.652963331
-0.000323086,3.133302204,2.646652585
-0.000322956,3.134201895,2.645751049
-0.000322826,3.136001278,2.642144908
-0.000322696,3.13060313,2.642144908
-0.000322566,3.135101586,2.646652585
-0.000322436,3.136001278,2.645751049
-0.000322306,3.140499734,2.642144908
-0.000322176,3.136900969,2.646652585
-0.000322046,3.149496648,2.642144908
-0.000321916,3.1440985,2.64935719
-0.000321786,3.148596956,2.648455655
-0.000321656,3.138700352,2.645751049
-0.000321526,3.138700352,2.650258726
-0.000321396,3.146797574,2.642144908
-0.000321266,3.152195722,2.64755412
-0.000321136,3.156694178,2.642144908
-0.000321006,3.15129603,2.64755412
-0.000320876,3.159393252,2.643947979
-0.000320746,3.154894795,2.654766402
-0.000320616,3.163891709,2.655667937
-0.000320486,3.162992017,2.643046444
-0.000320356,3.162092326,2.654766402
-0.000320226,3.161192635,2.648455655
-0.000320096,3.157593869,2.645751049
-0.000319966,3.166590783,2.650258726
-0.000319836,3.156694178,2.652963331
-0.000319706,3.157593869,2.650258726
-0.000319576,3.162092326,2.651160261
-0.000319446,3.162092326,2.651160261
-0.000319316,3.169289857,2.648455655
-0.000319186,3.163891709,2.644849514
-0.000319056,3.167490474,2.645751049
-0.000318926,3.180086152,2.654766402
-0.000318796,3.171988931,2.656569472
-0.000318666,3.174688004,2.64755412
-0.000318536,3.174688004,2.648455655
-0.000318406,3.174688004,2.653864867
-0.000318276,3.179186461,2.655667937
-0.000318146,3.17828677,2.651160261
-0.000318016,3.177387078,2.659274078
-0.000317886,3.183684918,2.653864867
-0.000317756,3.181885535,2.655667937
-0.000317626,3.193581522,2.654766402
-0.000317496,3.187283683,2.64755412
-0.000317366,3.181885535,2.64935719
-0.000317236,3.190882448,2.64755412
-0.000317106,3.192681831,2.651160261
-0.000316976,3.196280596,2.64755412
-0.000316846,3.195380905,2.64935719
-0.000316716,3.192681831,2.646652585
-0.000316586,3.195380905,2.645751049
-0.000316456,3.196280596,2.643046444
-0.000316326,3.199879361,2.643947979
-0.000316196,3.19897967,2.64935719
-0.000316066,3.193581522,2.645751049
-0.000315936,3.197180287,2.645751049
-0.000315806,3.201678744,2.64935719
-0.000315676,3.199879361,2.652963331
-0.000315546,3.207076892,2.651160261
-0.000315416,3.209775966,2.646652585
-0.000315286,3.214274422,2.636735697
-0.000315156,3.214274422,2.643947979
-0.000315026,3.225070718,2.632228021
-0.000314896,3.216973496,2.643947979
-0.000314766,3.214274422,2.642144908
-0.000314636,3.22597041,2.642144908
-0.000314506,3.223271336,2.642144908
-0.000314376,3.221471953,2.645751049
-0.000314246,3.217873188,2.652963331
-0.000314116,3.223271336,2.650258726
-0.000313986,3.223271336,2.655667937
-0.000313856,3.225070718,2.655667937
-0.000313726,3.217873188,2.654766402
-0.000313596,3.234067631,2.652061796
-0.000313466,3.230468866,2.646652585
-0.000313336,3.23316794,2.64935719
-0.000313206,3.249362384,2.651160261
-0.000313076,3.235867014,2.64755412
-0.000312946,3.240365471,2.648455655
-0.000312816,3.241265162,2.645751049
-0.000312686,3.237666397,2.64935719
-0.000312556,3.241265162,2.638538767
-0.000312426,3.243064545,2.645751049
-0.000312296,3.242164853,2.645751049
-0.000312166,3.241265162,2.640341838
-0.000312036,3.244863927,2.640341838
-0.000311906,3.243964236,2.643046444
-0.000311776,3.248462692,2.637637232
-0.000311646,3.243064545,2.638538767
-0.000311516,3.250262075,2.641243373
-0.000311386,3.254760532,2.640341838
-0.000311256,3.252961149,2.639440303
-0.000311126,3.25386084,2.644849514
-0.000310996,3.254760532,2.645751049
-0.000310866,3.256559914,2.643046444
-0.000310736,3.257459606,2.652061796
-0.000310606,3.262857754,2.652963331
-0.000310476,3.263757445,2.650258726
-0.000310346,3.269155593,2.648455655
-0.000310216,3.268255901,2.652061796
-0.000310086,3.271854667,2.654766402
-0.000309956,3.269155593,2.655667937
-0.000309826,3.277252815,2.654766402
-0.000309696,3.266456519,2.653864867
-0.000309566,3.277252815,2.648455655
-0.000309436,3.269155593,2.655667937
-0.000309306,3.275453432,2.658372543
-0.000309176,3.28085158,2.652963331
-0.000309046,3.279052197,2.656569472
-0.000308916,3.273654049,2.661077149
-0.000308786,3.282650963,2.668289431
-0.000308656,3.278152506,2.659274078
-0.000308526,3.286249728,2.654766402
-0.000308396,3.28085158,2.657471008
-0.000308266,3.283550654,2.656569472
-0.000308136,3.28085158,2.651160261
-0.000308006,3.284450345,2.646652585
-0.000307876,3.283550654,2.656569472
-0.000307746,3.293447258,2.650258726
-0.000307616,3.289848493,2.652061796
-0.000307486,3.293447258,2.653864867
-0.000307356,3.300644789,2.64935719
-0.000307226,3.293447258,2.64755412
-0.000307096,3.295246641,2.643046444
-0.000306966,3.289848493,2.639440303
-0.000306836,3.297046024,2.634031091
-0.000306706,3.304243554,2.643046444
-0.000306576,3.297046024,2.641243373
-0.000306446,3.297046024,2.638538767
-0.000306316,3.305143246,2.634932626
-0.000306186,3.307842319,2.645751049
-0.000306056,3.310541393,2.643046444
-0.000305926,3.302444172,2.636735697
-0.000305796,3.309641702,2.638538767
-0.000305666,3.307842319,2.646652585
-0.000305536,3.316839233,2.645751049
-0.000305406,3.316839233,2.640341838
-0.000305276,3.311441085,2.643947979
-0.000305146,3.306042937,2.635834162
-0.000305016,3.314140159,2.643947979
-0.000304886,3.31503985,2.636735697
-0.000304756,3.320437998,2.645751049
-0.000304626,3.320437998,2.64755412
-0.000304496,3.321337689,2.64755412
-0.000304366,3.324036763,2.64935719
-0.000304236,3.322237381,2.653864867
-0.000304106,3.316839233,2.654766402
-0.000303976,3.319538307,2.658372543
-0.000303846,3.326735837,2.652061796
-0.000303716,3.32853522,2.66468329
-0.000303586,3.339331516,2.660175613
-0.000303456,3.336632442,2.668289431
-0.000303326,3.32853522,2.661077149
